attribute_name,description,label
"work_style","Individual's task approach preferences. Non-sensitive behavioral data.","Non-sensitive PII"
"collaboration_pattern","User's team interaction habits. Non-sensitive workplace behavior data.","Non-sensitive PII"
"hr_performance_rating","Individual's confidential work assessment scores and evaluations. Contains sensitive career progression data.","Sensitive PII"
"compensation_band","User's salary range and pay grade information. Contains sensitive financial classification data.","Sensitive PII"
"bonus_percentage","Individual's performance-based compensation rates. Contains sensitive financial calculation data.","Sensitive PII"
"disciplinary_actions","User's workplace conduct violation records. Contains sensitive employment history data.","Sensitive PII"
"grievance_history","Individual's formal complaint and resolution records. Contains sensitive workplace incident data.","Sensitive PII"
"severance_package","User's employment termination compensation details. Contains sensitive financial agreement data.","Sensitive PII"
"non_compete_terms","Individual's post-employment restriction details. Contains sensitive legal agreement data.","Sensitive PII"
"workplace_investigation","User's involvement in internal inquiry processes. Contains sensitive conduct investigation data.","Sensitive PII"
"reasonable_accommodation","Individual's workplace adaptation requirements. Contains sensitive health-related needs data.","Sensitive PII"
"workers_comp_claims","User's workplace injury and compensation records. Contains sensitive health incident data.","Sensitive PII"
"salary_garnishment","Individual's wage withholding orders. Contains sensitive financial obligation data.","Sensitive PII"
"bankruptcy_status","User's financial insolvency declaration status. Contains sensitive financial status data.","Sensitive PII"
"child_support_orders","Individual's court-mandated payment obligations. Contains sensitive financial requirement data.","Sensitive PII"
"drug_test_results","User's substance screening outcomes. Contains sensitive medical test data.","Sensitive PII"
"background_check","Individual's pre-employment verification results. Contains sensitive historical data.","Sensitive PII"
"citizenship_status","User's work authorization classification. Contains sensitive legal status data.","Sensitive PII"
"visa_sponsorship","Individual's employment-based immigration status. Contains sensitive legal arrangement data.","Sensitive PII"
"created_by","User who initiated the record creation. Non-sensitive audit trail information.","Non-sensitive PII"
"created_date","Timestamp of initial record creation. Non-sensitive tracking information.","Non-sensitive PII"
"updated_by","User who last modified the record. Non-sensitive audit trail information.","Non-sensitive PII"
"updated_date","Timestamp of last record modification. Non-sensitive tracking information.","Non-sensitive PII"
"last_login_date","User's most recent system access time. Non-sensitive activity data.","Non-sensitive PII"
"account_status","Individual's current system access state. Non-sensitive status information.","Non-sensitive PII"
"system_roles","User's application permission levels. Non-sensitive access control data.","Non-sensitive PII"
"login_attempts","Individual's system access try count. Non-sensitive security metric.","Non-sensitive PII"
"password_expiry","User's credential renewal deadline. Non-sensitive security information.","Non-sensitive PII"
"notification_preferences","Individual's alert delivery choices. Non-sensitive communication settings.","Non-sensitive PII"
"language_preference","User's chosen interface language. Non-sensitive display setting.","Non-sensitive PII"
"theme_preference","Individual's interface appearance choice. Non-sensitive display setting.","Non-sensitive PII"
"timezone_setting","User's preferred time zone display. Non-sensitive localization data.","Non-sensitive PII"
"calendar_sharing","Individual's schedule visibility preferences. Non-sensitive collaboration setting.","Non-sensitive PII"
"job_description","User's detailed role responsibilities. Non-sensitive position information.","Non-sensitive PII"
"reporting_hierarchy","Individual's organizational structure position. Non-sensitive workplace data.","Non-sensitive PII"
"work_location","User's assigned office or remote status. Non-sensitive workplace information.","Non-sensitive PII"
"equipment_inventory","Individual's assigned device list. Non-sensitive asset tracking data.","Non-sensitive PII"
"training_history","User's completed learning programs. Non-sensitive educational record.","Non-sensitive PII"
"certification_expiry","Individual's credential validity periods. Non-sensitive qualification data.","Non-sensitive PII"
"project_assignments","User's current work task allocations. Non-sensitive workload data.","Non-sensitive PII"
"skill_matrix","Individual's capability assessment grid. Non-sensitive competency data.","Non-sensitive PII"
"attendance_record","User's presence and absence patterns. Non-sensitive workplace data.","Non-sensitive PII"
"leave_balance","Individual's time-off availability status. Non-sensitive benefit tracking.","Non-sensitive PII"
"parking_permit","User's facility access authorization. Non-sensitive administrative data.","Non-sensitive PII"
"building_access","Individual's physical location permissions. Non-sensitive security data.","Non-sensitive PII"
"desk_location","User's workspace assignment details. Non-sensitive facility data.","Non-sensitive PII"
"phone_extension","Individual's internal contact number. Non-sensitive contact information.","Non-sensitive PII"
"emergency_procedures","User's crisis response instructions. Non-sensitive safety information.","Non-sensitive PII"
"performance_goals","Individual's agreed development targets. Non-sensitive career planning data.","Non-sensitive PII"
"team_assignments","User's group membership details. Non-sensitive organizational data.","Non-sensitive PII"
"meeting_schedule","Individual's regular appointment patterns. Non-sensitive calendar data.","Non-sensitive PII"
"service_awards","User's company recognition milestones. Non-sensitive achievement data.","Non-sensitive PII"
"exit_checklist","Individual's termination process steps. Non-sensitive procedural data.","Non-sensitive PII"
"office_assets","User's assigned company property. Non-sensitive inventory data.","Non-sensitive PII"
"review_comments","Individual's performance evaluation narrative details. Contains sensitive assessment information.","Sensitive PII"
"pip_status","User's performance improvement plan details. Contains sensitive development intervention data.","Sensitive PII"
"succession_plan","Individual's leadership pathway designation. Contains sensitive career planning data.","Sensitive PII"
"retention_risk","User's attrition probability assessment. Contains sensitive workforce analysis data.","Sensitive PII"
"promotion_history","Individual's career advancement timeline. Contains sensitive progression data.","Sensitive PII"
"compensation_ratio","User's salary position within range. Contains sensitive payment equity data.","Sensitive PII"
"merit_increase","Individual's performance-based pay adjustments. Contains sensitive compensation data.","Sensitive PII"
"equity_grants","User's stock option and RSU details. Contains sensitive financial benefit data.","Sensitive PII"
"benefits_selection","Individual's chosen health and welfare options. Contains sensitive coverage data.","Sensitive PII"
"retirement_savings","User's pension contribution patterns. Contains sensitive financial planning data.","Sensitive PII"
"tax_withholding","Individual's payroll deduction preferences. Contains sensitive financial data.","Sensitive PII"
"direct_deposit","User's payment routing information. Contains sensitive banking data.","Sensitive PII"
"disability_claims","Individual's accommodation request details. Contains sensitive medical data.","Sensitive PII"
"fmla_records","User's family leave documentation. Contains sensitive personal situation data.","Sensitive PII"
"vaccination_record","Individual's immunization status details. Contains sensitive medical data.","Sensitive PII"
"medical_restrictions","User's work limitation documentation. Contains sensitive health data.","Sensitive PII"
"peer_feedback","Individual's colleague assessment responses. Contains sensitive evaluation data.","Sensitive PII"
"mentor_evaluation","User's guidance relationship assessments. Contains sensitive development data.","Sensitive PII"
"incident_reports","Individual's workplace event documentation. Contains sensitive situation data.","Sensitive PII"
"relocation_details","User's movement assistance arrangements. Contains sensitive financial support data.","Sensitive PII"
"training_scores","Individual's learning assessment results. Non-sensitive development data.","Non-sensitive PII"
"onboarding_progress","User's initialization process status. Non-sensitive tracking data.","Non-sensitive PII"
"system_access_level","Individual's application permission scope. Non-sensitive security data.","Non-sensitive PII"
"resource_bookings","User's facility reservation history. Non-sensitive scheduling data.","Non-sensitive PII"
"device_preferences","Individual's technology setup choices. Non-sensitive configuration data.","Non-sensitive PII"
"communication_logs","User's message exchange records. Non-sensitive interaction data.","Non-sensitive PII"
"document_access","Individual's file permission levels. Non-sensitive security data.","Non-sensitive PII"
"print_history","User's document production records. Non-sensitive activity data.","Non-sensitive PII"
"search_history","Individual's information lookup patterns. Non-sensitive usage data.","Non-sensitive PII"
"browser_settings","User's interface configuration choices. Non-sensitive preference data.","Non-sensitive PII"
"shortcut_settings","Individual's custom navigation options. Non-sensitive preference data.","Non-sensitive PII"
"widget_layout","User's dashboard arrangement choices. Non-sensitive display data.","Non-sensitive PII"
"report_subscriptions","Individual's automatic update selections. Non-sensitive preference data.","Non-sensitive PII"
"favorite_reports","User's frequently accessed analytics. Non-sensitive preference data.","Non-sensitive PII"
"export_formats","Individual's data download preferences. Non-sensitive configuration data.","Non-sensitive PII"
"auto_save_settings","User's document backup preferences. Non-sensitive configuration data.","Non-sensitive PII"
"collaboration_tools","Individual's teamwork platform choices. Non-sensitive preference data.","Non-sensitive PII"
"virtual_background","User's video conference settings. Non-sensitive display data.","Non-sensitive PII"
"notification_rules","Individual's alert configuration choices. Non-sensitive preference data.","Non-sensitive PII"
"keyboard_shortcuts","User's custom key command settings. Non-sensitive configuration data.","Non-sensitive PII"
"accessibility_needs","Individual's interface adaptation requirements. Non-sensitive setup data.","Non-sensitive PII"
"color_scheme","User's visual theme preferences. Non-sensitive display data.","Non-sensitive PII"
"font_settings","Individual's text display choices. Non-sensitive configuration data.","Non-sensitive PII"
"menu_customization","User's navigation arrangement choices. Non-sensitive preference data.","Non-sensitive PII"
"toolbar_layout","Individual's quick access tool arrangement. Non-sensitive display data.","Non-sensitive PII"
"workspace_layout","User's application window arrangement. Non-sensitive configuration data.","Non-sensitive PII"
"data_view_preferences","Individual's information display choices. Non-sensitive setup data.","Non-sensitive PII"
"filter_favorites","User's preferred data screening options. Non-sensitive configuration data.","Non-sensitive PII"
"sort_preferences","Individual's data ordering choices. Non-sensitive display data.","Non-sensitive PII"
"chart_preferences","User's data visualization choices. Non-sensitive display data.","Non-sensitive PII"
"security_clearance_history","Individual's classified access timeline and revocations. Contains sensitive authorization data.","Sensitive PII"
"union_grievance_records","User's labor dispute documentation and outcomes. Contains sensitive employment relation data.","Sensitive PII"
"workplace_violence_reports","Individual's hostile incident involvement records. Contains sensitive safety incident data.","Sensitive PII"
"harassment_complaints","User's workplace misconduct reporting history. Contains sensitive investigative data.","Sensitive PII"
"whistleblower_status","Individual's protected disclosure history. Contains sensitive legal protection data.","Sensitive PII"
"internal_investigation_role","User's involvement in workplace investigations. Contains sensitive procedural data.","Sensitive PII"
"conflict_of_interest","Individual's declared business relationship conflicts. Contains sensitive ethical data.","Sensitive PII"
"insider_trading_watch","User's heightened trading activity monitoring. Contains sensitive compliance data.","Sensitive PII"
"financial_disclosure","Individual's required asset and interest declarations. Contains sensitive financial data.","Sensitive PII"
"trade_secret_access","User's proprietary information exposure level. Contains sensitive intellectual property data.","Sensitive PII"
"confidentiality_breach","Individual's information handling incident history. Contains sensitive security data.","Sensitive PII"
"psychological_assessment","User's behavioral evaluation results. Contains sensitive psychological data.","Sensitive PII"
"stress_leave_history","Individual's mental health absence records. Contains sensitive medical data.","Sensitive PII"
"rehab_program_status","User's recovery program participation details. Contains sensitive health data.","Sensitive PII"
"genetic_screening","Individual's hereditary condition test results. Contains sensitive medical data.","Sensitive PII"
"reproductive_leave","User's family planning related absence. Contains sensitive medical data.","Sensitive PII"
"gender_transition_plan","Individual's workplace transition arrangements. Contains sensitive personal data.","Sensitive PII"
"cultural_accommodation","User's religious or cultural practice requirements. Contains sensitive belief data.","Sensitive PII"
"political_activity_leave","Individual's electoral participation records. Contains sensitive political data.","Sensitive PII"
"social_media_violations","User's online conduct incident reports. Contains sensitive behavioral data.","Sensitive PII"
"brand_ambassador_status","Individual's public representation privileges. Non-sensitive role data.","Non-sensitive PII"
"innovation_submissions","User's improvement suggestion records. Non-sensitive contribution data.","Non-sensitive PII"
"knowledge_base_edits","Individual's documentation contribution history. Non-sensitive activity data.","Non-sensitive PII"
"feedback_provided","User's system improvement suggestions. Non-sensitive input data.","Non-sensitive PII"
"mentor_program_status","Individual's guidance program participation. Non-sensitive development data.","Non-sensitive PII"
"cross_training_history","User's skill expansion activities. Non-sensitive learning data.","Non-sensitive PII"
"project_preferences","Individual's work assignment interests. Non-sensitive career data.","Non-sensitive PII"
"rotation_program","User's role diversity experience track. Non-sensitive development data.","Non-sensitive PII"
"speaker_experience","Individual's presentation history. Non-sensitive professional data.","Non-sensitive PII"
"content_creation","User's internal publication record. Non-sensitive contribution data.","Non-sensitive PII"
"team_building_participation","Individual's group activity involvement. Non-sensitive engagement data.","Non-sensitive PII"
"volunteer_coordinator","User's community service leadership. Non-sensitive activity data.","Non-sensitive PII"
"sustainability_champion","Individual's environmental initiative roles. Non-sensitive program data.","Non-sensitive PII"
"diversity_advocate","User's inclusion program participation. Non-sensitive engagement data.","Non-sensitive PII"
"wellness_ambassador","Individual's health program promotion role. Non-sensitive program data.","Non-sensitive PII"
"office_layout_preference","User's workspace arrangement choices. Non-sensitive facility data.","Non-sensitive PII"
"ergonomic_equipment","Individual's workspace adaptation tools. Non-sensitive resource data.","Non-sensitive PII"
"remote_work_schedule","User's off-site working pattern. Non-sensitive arrangement data.","Non-sensitive PII"
"flex_time_agreement","Individual's custom hours arrangement. Non-sensitive schedule data.","Non-sensitive PII"
"hot_desk_preference","User's flexible seating choice. Non-sensitive facility data.","Non-sensitive PII"
"commute_type","Individual's transportation method. Non-sensitive logistics data.","Non-sensitive PII"
"parking_preference","User's vehicle storage location choice. Non-sensitive facility data.","Non-sensitive PII"
"office_neighborhood","Individual's workspace zone assignment. Non-sensitive location data.","Non-sensitive PII"
"collaboration_zone","User's teamwork space preference. Non-sensitive facility data.","Non-sensitive PII"
"quiet_zone_access","Individual's focus space privileges. Non-sensitive facility data.","Non-sensitive PII"
"locker_assignment","User's personal storage location. Non-sensitive facility data.","Non-sensitive PII"
"mail_slot","Individual's physical delivery point. Non-sensitive facility data.","Non-sensitive PII"
"seating_chart","User's workspace location record. Non-sensitive facility data.","Non-sensitive PII"
"visitor_hosting","Individual's guest reception privileges. Non-sensitive access data.","Non-sensitive PII"
"conference_booking","User's meeting space reservation rights. Non-sensitive facility data.","Non-sensitive PII"
"protected_veteran_category","Individual's military service classification details. Contains sensitive veteran status data.","Sensitive PII"
"disability_accommodation_history","User's workplace adaptation records and needs. Contains sensitive medical requirement data.","Sensitive PII"
"gender_pay_gap_analysis","Individual's compensation equity review data. Contains sensitive financial comparison data.","Sensitive PII"
"diversity_metrics","User's demographic classification for analysis. Contains sensitive statistical data.","Sensitive PII"
"reasonable_adjustment_needs","Individual's workplace modification requirements. Contains sensitive accessibility data.","Sensitive PII"
"tribal_membership_status","User's indigenous community affiliation. Contains sensitive ethnic data.","Sensitive PII"
"refugee_employment_terms","Individual's protected status work conditions. Contains sensitive legal status data.","Sensitive PII"
"child_labor_verification","User's age and work eligibility confirmation. Contains sensitive compliance data.","Sensitive PII"
"modern_slavery_check","Individual's forced labor risk assessment. Contains sensitive compliance data.","Sensitive PII"
"social_vulnerability_index","User's support need assessment score. Contains sensitive social status data.","Sensitive PII"
"abuse_survivor_status","Individual's protected status classification. Contains sensitive personal safety data.","Sensitive PII"
"witness_protection_needs","User's security requirement assessment. Contains sensitive safety data.","Sensitive PII"
"custody_arrangement","Individual's child care schedule impact. Contains sensitive family data.","Sensitive PII"
"court_order_restrictions","User's legally mandated limitations. Contains sensitive legal data.","Sensitive PII"
"desktop_customization","Individual's computer interface settings. Non-sensitive preference data.","Non-sensitive PII"
"app_permissions","User's software access levels. Non-sensitive security data.","Non-sensitive PII"
"notification_rules","Individual's alert configuration. Non-sensitive preference data.","Non-sensitive PII"
"data_export_format","User's information download settings. Non-sensitive preference data.","Non-sensitive PII"
"report_scheduling","Individual's automated report timing. Non-sensitive preference data.","Non-sensitive PII"
"dashboard_layout","User's analytics display arrangement. Non-sensitive preference data.","Non-sensitive PII"
"favorite_queries","Individual's saved database searches. Non-sensitive preference data.","Non-sensitive PII"
"custom_reports","User's personalized analysis views. Non-sensitive preference data.","Non-sensitive PII"
"widget_selection","Individual's chosen display components. Non-sensitive preference data.","Non-sensitive PII"
"keyboard_mapping","User's custom key assignments. Non-sensitive preference data.","Non-sensitive PII"
"genetic_ancestry_data","Individual's hereditary background analysis results. Contains sensitive ethnicity mapping data.","Sensitive PII"
"dna_health_markers","User's genetic predisposition indicators. Contains sensitive medical prediction data.","Sensitive PII"
"epigenetic_profile","Individual's gene expression patterns. Contains sensitive biological data.","Sensitive PII"
"familial_disease_history","User's inherited health condition patterns. Contains sensitive medical history data.","Sensitive PII"
"genomic_testing_consent","Individual's DNA analysis authorization status. Contains sensitive medical consent data.","Sensitive PII"
"biomarker_readings","User's biological indicator measurements. Contains sensitive health monitoring data.","Sensitive PII"
"metabolic_profile","Individual's biochemical process patterns. Contains sensitive health assessment data.","Sensitive PII"
"hormonal_data","User's endocrine system measurements. Contains sensitive medical status data.","Sensitive PII"
"brain_activity_patterns","Individual's neurological monitoring data. Contains sensitive medical measurement data.","Sensitive PII"
"cognitive_assessment","User's mental processing evaluation results. Contains sensitive psychological data.","Sensitive PII"
"emotional_stability_score","Individual's psychological resilience measures. Contains sensitive mental health data.","Sensitive PII"
"trauma_exposure_history","User's past psychological stress records. Contains sensitive mental health data.","Sensitive PII"
"psychological_treatment_plan","Individual's mental health intervention strategy. Contains sensitive healthcare data.","Sensitive PII"
"behavioral_risk_assessment","User's conduct pattern analysis results. Contains sensitive psychological evaluation data.","Sensitive PII"
"addiction_recovery_status","Individual's rehabilitation progress records. Contains sensitive health status data.","Sensitive PII"
"substance_dependency_history","User's chemical dependency treatment records. Contains sensitive medical history data.","Sensitive PII"
"mental_capacity_assessment","Individual's decision-making ability evaluation. Contains sensitive psychological data.","Sensitive PII"
"suicide_prevention_notes","User's mental health intervention records. Contains sensitive psychological data.","Sensitive PII"
"crisis_intervention_history","Individual's emergency mental health support records. Contains sensitive medical data.","Sensitive PII"
"developmental_disorder_data","User's cognitive development assessment. Contains sensitive diagnostic data.","Sensitive PII"
"learning_disability_profile","Individual's educational challenge patterns. Contains sensitive capability data.","Sensitive PII"
"neurodiversity_assessment","User's cognitive processing patterns. Contains sensitive neurological data.","Sensitive PII"
"sensory_processing_profile","Individual's environmental sensitivity patterns. Contains sensitive medical data.","Sensitive PII"
"pain_management_history","User's chronic condition treatment records. Contains sensitive medical data.","Sensitive PII"
"reproductive_choice_records","Individual's family planning decisions. Contains sensitive medical data.","Sensitive PII"
"hormone_therapy_status","User's endocrine treatment progress. Contains sensitive medical data.","Sensitive PII"
"fertility_treatment_history","Individual's reproductive assistance records. Contains sensitive medical data.","Sensitive PII"
"prenatal_care_records","User's pregnancy health monitoring data. Contains sensitive medical data.","Sensitive PII"
"birth_control_method","Individual's family planning approach. Contains sensitive medical choice data.","Sensitive PII"
"menstrual_health_data","User's reproductive cycle monitoring. Contains sensitive medical data.","Sensitive PII"
"pregnancy_loss_history","Individual's reproductive health events. Contains sensitive medical data.","Sensitive PII"
"sexual_health_screening","User's intimate health test results. Contains sensitive medical data.","Sensitive PII"
"intimate_partner_violence","Individual's domestic abuse exposure records. Contains sensitive safety data.","Sensitive PII"
"sexual_assault_counseling","User's trauma support service records. Contains sensitive support data.","Sensitive PII"
"gender_identity_journey","Individual's personal transition documentation. Contains sensitive identity data.","Sensitive PII"
"deadname_history","User's previous identity references. Contains sensitive personal history data.","Sensitive PII"
"sexual_orientation_disclosure","Individual's identity disclosure preferences. Contains sensitive personal data.","Sensitive PII"
"relationship_abuse_history","User's harmful relationship exposure records. Contains sensitive safety data.","Sensitive PII"
"social_transition_timeline","Individual's identity expression progression. Contains sensitive personal data.","Sensitive PII"
"cultural_persecution_history","User's discrimination experience records. Contains sensitive persecution data.","Sensitive PII"
"religious_discrimination_record","Individual's faith-based harassment history. Contains sensitive incident data.","Sensitive PII"
"racial_profiling_incidents","User's discrimination experience documentation. Contains sensitive ethnic data.","Sensitive PII"
"hate_crime_victimization","Individual's targeted violence exposure. Contains sensitive incident data.","Sensitive PII"
"minority_status_verification","User's protected class documentation. Contains sensitive demographic data.","Sensitive PII"
"indigenous_rights_status","Individual's native rights recognition data. Contains sensitive ethnic data.","Sensitive PII"
"caste_identification","User's social hierarchy classification. Contains sensitive cultural data.","Sensitive PII"
"tribal_benefits_eligibility","Individual's indigenous community rights. Contains sensitive status data.","Sensitive PII"
"cultural_identity_markers","User's heritage identification elements. Contains sensitive ethnic data.","Sensitive PII"
"minority_language_status","Individual's linguistic minority classification. Contains sensitive cultural data.","Sensitive PII"
"interface_color_scheme","User's visual display color preferences. Non-sensitive customization data.","Non-sensitive PII"
"notification_frequency","Individual's alert timing preferences. Non-sensitive communication data.","Non-sensitive PII"
"dashboard_widgets","User's chosen information display elements. Non-sensitive interface data.","Non-sensitive PII"
"email_signature","Individual's message closing format. Non-sensitive communication data.","Non-sensitive PII"
"calendar_view_type","User's schedule display preference. Non-sensitive visualization data.","Non-sensitive PII"
"task_list_layout","Individual's work item organization. Non-sensitive display preference.","Non-sensitive PII"
"message_threading","User's conversation grouping choice. Non-sensitive display setting.","Non-sensitive PII"
"file_sorting_preference","Individual's document organization method. Non-sensitive arrangement data.","Non-sensitive PII"
"default_reminder_time","User's notification advance timing. Non-sensitive alert preference.","Non-sensitive PII"
"start_page_selection","Individual's initial screen choice. Non-sensitive navigation data.","Non-sensitive PII"
"menu_arrangement","User's navigation item ordering. Non-sensitive layout preference.","Non-sensitive PII"
"sidebar_components","Individual's quick access tools. Non-sensitive interface data.","Non-sensitive PII"
"shortcut_commands","User's keyboard operation preferences. Non-sensitive input data.","Non-sensitive PII"
"mouse_sensitivity","Individual's pointer speed setting. Non-sensitive control data.","Non-sensitive PII"
"scroll_behavior","User's page movement preference. Non-sensitive navigation data.","Non-sensitive PII"
"window_arrangement","Individual's screen layout choice. Non-sensitive display data.","Non-sensitive PII"
"toolbar_visibility","User's tool display preferences. Non-sensitive interface data.","Non-sensitive PII"
"zoom_level_default","Individual's text size preference. Non-sensitive display data.","Non-sensitive PII"
"animation_settings","User's motion effect preferences. Non-sensitive visual data.","Non-sensitive PII"
"sound_preferences","Individual's audio feedback choices. Non-sensitive interface data.","Non-sensitive PII"
"autocomplete_settings","User's text entry assistance level. Non-sensitive input data.","Non-sensitive PII"
"spell_check_language","Individual's text verification language. Non-sensitive writing data.","Non-sensitive PII"
"grammar_check_level","User's writing assistance intensity. Non-sensitive editing data.","Non-sensitive PII"
"autosave_frequency","Individual's work backup timing. Non-sensitive safety preference.","Non-sensitive PII"
"file_format_default","User's document type preference. Non-sensitive storage data.","Non-sensitive PII"
"print_layout_default","Individual's document output format. Non-sensitive printing data.","Non-sensitive PII"
"clipboard_history","User's copy-paste record length. Non-sensitive operation data.","Non-sensitive PII"
"undo_levels","Individual's action reversal depth. Non-sensitive operation data.","Non-sensitive PII"
"cursor_style","User's text pointer appearance. Non-sensitive display preference.","Non-sensitive PII"
"grid_snap_settings","Individual's alignment assistance. Non-sensitive layout data.","Non-sensitive PII"
"ruler_visibility","User's measurement tool display. Non-sensitive interface data.","Non-sensitive PII"
"guide_display","Individual's alignment aid visibility. Non-sensitive layout data.","Non-sensitive PII"
"workspace_zoom","User's canvas view scale. Non-sensitive display preference.","Non-sensitive PII"
"tool_panel_location","Individual's utility window position. Non-sensitive layout data.","Non-sensitive PII"
"property_panel_state","User's attribute display expansion. Non-sensitive interface data.","Non-sensitive PII"
"preview_pane_size","Individual's content preview dimensions. Non-sensitive display data.","Non-sensitive PII"
"thumbnail_size","User's image preview dimensions. Non-sensitive display preference.","Non-sensitive PII"
"list_view_columns","Individual's data field visibility. Non-sensitive display data.","Non-sensitive PII"
"sort_order_preference","User's item arrangement sequence. Non-sensitive organization data.","Non-sensitive PII"
"group_by_setting","Individual's content clustering method. Non-sensitive arrangement data.","Non-sensitive PII"
"filter_conditions","User's content restriction rules. Non-sensitive display preference.","Non-sensitive PII"
"search_scope","Individual's query range setting. Non-sensitive operation data.","Non-sensitive PII"
"results_per_page","User's item display quantity. Non-sensitive pagination data.","Non-sensitive PII"
"export_settings","Individual's data output format. Non-sensitive transfer preference.","Non-sensitive PII"
"import_rules","User's data intake guidelines. Non-sensitive processing data.","Non-sensitive PII"
"sync_frequency","Individual's update timing preference. Non-sensitive operation data.","Non-sensitive PII"
"witness_statement_history","Individual's legal testimony records. Contains sensitive judicial data.","Sensitive PII"
"victim_compensation","User's crime-related reimbursement details. Contains sensitive financial data.","Sensitive PII"
"threat_assessment_score","Individual's personal risk evaluation level. Contains sensitive security data.","Sensitive PII"
"protective_order_details","User's legal safety measure specifications. Contains sensitive security data.","Sensitive PII"
"asylum_application_status","Individual's refugee protection request state. Contains sensitive legal data.","Sensitive PII"
"persecution_evidence","User's documented discrimination proof. Contains sensitive incident data.","Sensitive PII"
"trafficking_survivor_status","Individual's human exploitation case data. Contains sensitive victim data.","Sensitive PII"
"exploitation_risk_score","User's vulnerability assessment rating. Contains sensitive safety data.","Sensitive PII"
"rehabilitation_program","Individual's recovery assistance enrollment. Contains sensitive support data.","Sensitive PII"
"trauma_support_services","User's psychological assistance access. Contains sensitive health data.","Sensitive PII"
"crisis_shelter_history","Individual's emergency housing records. Contains sensitive location data.","Sensitive PII"
"safe_house_placement","User's protective housing assignment. Contains sensitive security data.","Sensitive PII"
"emergency_relocation","Individual's safety-based movement history. Contains sensitive security data.","Sensitive PII"
"identity_protection","User's personal information safeguard level. Contains sensitive security data.","Sensitive PII"
"surveillance_protection","Individual's monitoring prevention measures. Contains sensitive security data.","Sensitive PII"
"confidential_address","User's protected location information. Contains sensitive contact data.","Sensitive PII"
"safe_contact_protocol","Individual's secure communication methods. Contains sensitive security data.","Sensitive PII"
"security_incident_log","User's safety breach documentation. Contains sensitive event data.","Sensitive PII"
"threat_response_plan","Individual's danger mitigation strategy. Contains sensitive safety data.","Sensitive PII"
"panic_alert_setup","User's emergency notification system. Contains sensitive security data.","Sensitive PII"
"safety_check_schedule","Individual's well-being verification timing. Contains sensitive monitoring data.","Sensitive PII"
"risk_assessment_update","User's danger level reevaluation. Contains sensitive security data.","Sensitive PII"
"support_network_contacts","Individual's trusted assistance connections. Contains sensitive contact data.","Sensitive PII"
"escape_plan_details","User's emergency exit strategy. Contains sensitive safety data.","Sensitive PII"
"kyc_risk_score","Individual's customer due diligence rating. Contains sensitive compliance assessment data.","Sensitive PII"
"pep_status","User's politically exposed person classification. Contains sensitive regulatory data.","Sensitive PII"
"sanctions_screening","Individual's regulatory restriction check results. Contains sensitive compliance data.","Sensitive PII"
"aml_risk_rating","User's anti-money laundering risk level. Contains sensitive financial compliance data.","Sensitive PII"
"source_of_wealth","Individual's asset origin documentation. Contains sensitive financial verification data.","Sensitive PII"
"source_of_funds","User's money source verification details. Contains sensitive financial data.","Sensitive PII"
"beneficial_ownership","Individual's ultimate asset control status. Contains sensitive ownership data.","Sensitive PII"
"tax_residency_status","User's tax jurisdiction declarations. Contains sensitive financial compliance data.","Sensitive PII"
"fatca_classification","Individual's foreign tax compliance status. Contains sensitive regulatory data.","Sensitive PII"
"crs_reporting_status","User's common reporting standard category. Contains sensitive tax data.","Sensitive PII"
"ultimate_beneficiary","Individual's final benefit recipient status. Contains sensitive ownership data.","Sensitive PII"
"high_risk_country_ties","User's connection to monitored jurisdictions. Contains sensitive compliance data.","Sensitive PII"
"shell_bank_relationships","Individual's suspicious entity connections. Contains sensitive financial data.","Sensitive PII"
"adverse_media_hits","User's negative news appearance records. Contains sensitive reputation data.","Sensitive PII"
"regulatory_violations","Individual's compliance breach history. Contains sensitive legal data.","Sensitive PII"
"transaction_patterns","User's unusual financial activity flags. Contains sensitive monitoring data.","Sensitive PII"
"nominee_arrangements","Individual's proxy ownership structures. Contains sensitive legal data.","Sensitive PII"
"offshore_accounts","User's foreign financial relationships. Contains sensitive banking data.","Sensitive PII"
"currency_declarations","Individual's monetary instrument reports. Contains sensitive customs data.","Sensitive PII"
"kyc_document_verification","User's identity proof validation status. Contains sensitive verification data.","Sensitive PII"
"kyc_screening_date","Individual's latest due diligence check timing. Contains sensitive compliance data.","Sensitive PII"
"counter_party_data","User's business relationship validation. Contains sensitive commercial data.","Sensitive PII"
"legal_entity_identifier","Individual's business entity unique code. Contains sensitive registration data.","Sensitive PII"
"document_validation_status","User's identity verification assessment. Contains sensitive authentication data.","Sensitive PII"
"kyc_expiry_tracking","Individual's due diligence renewal timeline. Non-sensitive compliance data.","Non-sensitive PII"
"document_reminder_preference","User's renewal notification settings. Non-sensitive alert data.","Non-sensitive PII"
"verification_channel","Individual's identity check method choice. Non-sensitive process data.","Non-sensitive PII"
"preferred_branch","User's service location selection. Non-sensitive facility preference.","Non-sensitive PII"
"service_language","Individual's interaction language choice. Non-sensitive communication data.","Non-sensitive PII"
"document_upload_format","User's file submission preference. Non-sensitive technical data.","Non-sensitive PII"
"notification_medium","Individual's alert delivery channel choice. Non-sensitive contact preference.","Non-sensitive PII"
"appointment_booking","User's meeting scheduling preference. Non-sensitive scheduling data.","Non-sensitive PII"
